[2025-04-21 14:19:59,359: INFO: main: welcome to our custom log]
[2025-04-21 18:26:38,707: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-04-21 18:26:38,717: INFO: common: yaml file: params.yaml loaded successfully]
[2025-04-21 18:26:38,722: INFO: common: created directory at: artifacts]
[2025-04-21 18:26:38,724: INFO: common: created directory at: artifacts/data_ingestion]
[2025-04-21 18:26:38,727: INFO: 986331348: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-04-21 18:26:55,878: INFO: 986331348: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-04-21 18:50:08,288: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2025-04-21 18:50:08,288: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-04-21 18:50:08,288: INFO: common: yaml file: params.yaml loaded successfully]
[2025-04-21 18:50:08,288: INFO: common: created directory at: artifacts]
[2025-04-21 18:50:08,288: INFO: common: created directory at: artifacts/data_ingestion]
[2025-04-21 18:50:08,288: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-04-21 18:50:29,314: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-04-21 18:50:30,250: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2025-04-22 01:53:25,062: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-04-22 01:53:25,073: INFO: common: yaml file: params.yaml loaded successfully]
[2025-04-22 01:53:25,077: INFO: common: created directory at: artifacts]
[2025-04-22 01:53:49,719: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-04-22 01:53:49,725: INFO: common: yaml file: params.yaml loaded successfully]
[2025-04-22 01:53:49,727: INFO: common: created directory at: artifacts]
[2025-04-22 01:54:34,566: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-04-22 01:54:34,582: INFO: common: yaml file: params.yaml loaded successfully]
[2025-04-22 01:54:34,582: INFO: common: created directory at: artifacts]
[2025-04-22 01:54:51,101: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-04-22 01:55:36,320: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-04-22 01:55:36,320: INFO: common: yaml file: params.yaml loaded successfully]
[2025-04-22 01:55:36,338: INFO: common: created directory at: artifacts]
[2025-04-22 01:59:31,367: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-04-22 02:01:14,183: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-04-22 02:03:32,064: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-04-22 02:05:47,016: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-04-22 02:08:13,211: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-04-22 02:08:13,215: INFO: common: yaml file: params.yaml loaded successfully]
[2025-04-22 02:08:13,215: INFO: common: created directory at: artifacts]
[2025-04-22 02:09:03,521: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-04-22 02:09:03,525: INFO: common: yaml file: params.yaml loaded successfully]
[2025-04-22 02:09:03,528: INFO: common: created directory at: artifacts]
[2025-04-22 02:11:27,267: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-04-22 02:14:40,286: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-04-22 02:21:00,985: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-04-22 02:22:14,436: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-04-22 02:26:59,452: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-04-22 02:26:59,465: INFO: common: yaml file: params.yaml loaded successfully]
[2025-04-22 02:26:59,467: INFO: common: created directory at: artifacts]
[2025-04-22 02:28:29,024: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-04-22 02:28:29,028: INFO: common: yaml file: params.yaml loaded successfully]
[2025-04-22 02:28:29,030: INFO: common: created directory at: artifacts]
[2025-04-22 02:28:55,379: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-04-22 02:28:55,386: INFO: common: yaml file: params.yaml loaded successfully]
[2025-04-22 02:28:55,387: INFO: common: created directory at: artifacts]
[2025-04-22 02:34:28,826: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-04-22 02:34:28,841: INFO: common: yaml file: params.yaml loaded successfully]
[2025-04-22 02:34:28,848: INFO: common: created directory at: artifacts]
[2025-04-22 02:35:34,099: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-04-22 02:35:34,104: INFO: common: yaml file: params.yaml loaded successfully]
[2025-04-22 02:35:34,106: INFO: common: created directory at: artifacts]
[2025-04-22 02:35:43,086: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-04-22 02:35:43,094: INFO: common: yaml file: params.yaml loaded successfully]
[2025-04-22 02:35:43,099: INFO: common: created directory at: artifacts]
[2025-04-22 02:40:16,714: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-04-22 02:40:16,733: INFO: common: yaml file: params.yaml loaded successfully]
[2025-04-22 02:40:16,736: INFO: common: created directory at: artifacts]
[2025-04-22 02:42:24,058: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-04-22 02:42:24,064: INFO: common: yaml file: params.yaml loaded successfully]
[2025-04-22 02:42:24,066: INFO: common: created directory at: artifacts]
[2025-04-22 02:45:28,661: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-04-22 02:45:28,673: INFO: common: yaml file: params.yaml loaded successfully]
[2025-04-22 02:45:28,676: INFO: common: created directory at: artifacts]
[2025-04-22 02:46:24,372: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-04-22 02:46:24,375: INFO: common: yaml file: params.yaml loaded successfully]
[2025-04-22 02:46:24,378: INFO: common: created directory at: artifacts]
[2025-04-22 02:48:07,957: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-04-22 02:48:07,961: INFO: common: yaml file: params.yaml loaded successfully]
[2025-04-22 02:48:07,963: INFO: common: created directory at: artifacts]
[2025-04-22 02:49:32,221: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-04-22 02:49:32,224: INFO: common: yaml file: params.yaml loaded successfully]
[2025-04-22 02:49:32,227: INFO: common: created directory at: artifacts]
[2025-04-22 02:50:37,994: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-04-22 02:50:37,997: INFO: common: yaml file: params.yaml loaded successfully]
[2025-04-22 02:50:37,998: INFO: common: created directory at: artifacts]
[2025-04-22 02:50:44,097: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-04-22 02:51:20,301: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-04-22 02:51:27,852: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-04-22 02:51:29,507: INFO: common: yaml file: config\config.yaml loaded successfully]
